county,deaths,cumulative_positives,cumulative_tests,medianFamily,density,infected,smoking,population,arealand
Albany,45,1067,9871,76159,224.67060561299851,0.00019066152976292226,16.2,304204,1354.0
Allegany,0,35,525,49864,18.35933983495874,0.0,28.1,48946,2666.0
Broome,15,273,2247,57545,109.73741794310722,3.489531405782652e-05,24.0,200600,1828.0
Cattaraugus,1,47,824,51227,23.699321333726765,2.4901328485874722e-05,31.5,80317,3389.0
Cayuga,1,48,932,58761,44.6823003908431,0.0,34.3,80026,1791.0
Chautauqua,1,31,1121,51031,49.127822286962854,7.412623698157963e-06,27.8,134905,2746.0
Chemung,3,119,1479,55246,84.19905213270142,6.754474839581223e-05,26.4,88830,1055.0
Chenango,0,96,764,52229,21.813742437337943,1.9811003031083465e-05,19.2,50477,2314.0
Clinton,4,59,708,60280,30.553571428571427,0.0,22.5,82128,2688.0
Columbia,16,165,1241,69132,38.37956204379562,0.00017433751743375174,23.5,63096,1644.0
Cortland,0,28,1086,57743,38.18575851393189,0.0,21.5,49336,1292.0
Delaware,0,60,705,53590,12.842612419700215,2.0842017507294705e-05,24.6,47980,3736.0
Dutchess,66,2881,14215,83599,144.34158175642892,0.00021513472812348733,16.5,297488,2061.0
Erie,216,3196,15219,63404,340.2591632728619,0.0001164258356545961,19.2,919040,2701.0
Essex,0,27,341,55781,8.472132558639982,2.54000508001016e-05,19.1,39370,4647.0
Franklin,0,15,360,50816,12.230149324484476,1.9380220546909824e-05,28.2,51599,4219.0
Fulton,1,67,764,50425,43.282151208106,1.8007959518107003e-05,30.7,55531,1283.0
Genesee,2,152,974,60127,47.04698512137823,4.9934253233242894e-05,27.0,60079,1277.0
Greene,0,114,1065,55260,29.368138424821,4.0633063123463564e-05,24.5,49221,1676.0
Hamilton,0,3,38,59911,1.0872302158273381,0.0,31.0,4836,4448.0
Herkimer,1,58,764,53288,17.647428884026258,0.0,28.4,64519,3656.0
Jefferson,0,60,1482,51834,35.37096774193548,0.0,21.8,116229,3286.0
Lewis,0,9,300,49554,8.205695243865495,0.0,16.4,27087,3301.0
Livingston,2,67,991,63539,39.97127139364303,3.05843133057055e-05,23.5,65393,1636.0
Madison,3,126,1203,61828,43.303066037735846,0.0,17.1,73442,1696.0
Monroe,91,1404,13546,65240,437.3349001175088,4.433434003632729e-05,15.0,744344,1702.0
Montgomery,1,51,684,53476,48.10249042145594,3.982556402955057e-05,23.7,50219,1044.0
Nassau,2039,35505,92776,107934,1816.560889612151,0.0003135423416536522,13.1,1339532,737.4
Niagara,11,401,2390,59471,159.9918699186992,6.929398666783697e-05,21.7,216469,1353.0
Oneida,12,422,3281,58017,74.80191082802548,4.6832823848976914e-05,23.7,234878,3140.0
Onondaga,31,782,10324,65929,231.65972222222223,8.564833649518442e-05,21.3,467026,2016.0
Ontario,3,90,1533,69877,64.7068345323741,0.0,20.1,107931,1668.0
Orange,223,8488,26342,82480,177.36108468125596,0.00030578332837106,15.5,372813,2102.0
Orleans,5,85,593,58535,42.332675222112535,0.00011659632022013385,27.4,42883,1013.0
Oswego,0,63,1547,56364,49.53711967545639,0.0,26.3,122109,2465.0
Otsego,5,66,1201,56797,24.001156515034694,1.6061934820668497e-05,28.8,62259,2594.0
Putnam,45,946,3919,101576,167.15842414082147,0.00014040718082439072,15.3,99710,596.5
Rensselaer,17,262,3166,68390,94.33668639053255,7.526861486931487e-05,24.8,159429,1690.0
Rockland,359,11586,29902,96836,693.4082313681869,0.0004267101290717932,10.4,311687,449.5
Saratoga,3,346,4844,81251,104.67445185891324,1.3660766733300851e-05,18.3,219607,2098.0
Schenectady,25,479,3928,70712,292.10307721351705,6.462996115739335e-05,20.3,154727,529.7
Schoharie,0,39,592,61828,20.32836747361887,3.053528352010748e-05,20.1,32749,1611.0
Schuyler,0,7,405,54322,21.569849482596425,0.0,23.3,18343,850.4
Seneca,1,38,451,53857,42.04556297709924,0.0,14.7,35251,838.4
St. Lawrence,2,170,1549,50384,16.125612215499856,0.0,20.5,111944,6942.0
Steuben,11,214,1974,52867,27.481954469739033,4.0408122032528536e-05,25.1,98990,3602.0
Suffolk,1179,33265,89168,96220,632.2396274343777,0.00036227274249171326,14.9,1493350,2362.0
Sullivan,12,811,3641,57388,30.932189868368567,0.000541607025416844,24.8,77547,2507.0
Tioga,4,84,815,59907,38.06775874906925,3.911980440097799e-05,22.7,51125,1343.0
Tompkins,2,127,3492,72231,82.63954434499593,9.846008428183214e-06,14.0,101564,1229.0
Ulster,5,1252,7773,70513,62.66929945054945,0.00012055256913963823,22.0,182493,2912.0
Warren,8,152,1268,64195,29.26815144766147,3.0438157273958636e-05,18.8,65707,2245.0
Washington,0,134,947,57360,29.361820715281002,4.745634016704632e-05,22.7,63216,2153.0
Wayne,0,70,1185,60324,59.95652173913044,0.0,27.5,93772,1564.0
Westchester,1096,28626,90987,100863,851.2224215246637,0.0004014274380395169,12.2,949113,1115.0
Wyoming,3,65,551,58009,27.462540716612377,4.744395682599929e-05,22.6,42155,1535.0
Yates,1,17,252,56538,28.9426809773921,0.0,13.3,25348,875.8
Bronx,2568,36600,87254,38431,12707.412844036697,0.00043751100997178557,15.2,1385108,109.0
Kings,3516,44236,107546,48777,13657.033805888766,0.00025911286780851996,14.8,2504700,183.4
New York,1550,21604,64303,75629,26820.10823608997,0.0001841257149847434,13.1,1585873,59.13
Queens,3608,50741,116488,62459,7935.688367129135,0.0003640077069217948,13.0,2230722,281.1
Richmond,572,11660,32645,83264,3100.066137566138,0.0003072131077592644,17.6,468730,151.2
